username,email,upn,displayname,givenname,surname,password
testuser1,testuser1@yourtenant.onmicrosoft.com,testuser1@yourtenant.onmicrosoft.com,Test User 1,Test,User 1,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser2,testuser2@yourtenant.onmicrosoft.com,testuser2@yourtenant.onmicrosoft.com,Test User 2,Test,User 2,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser3,testuser3@yourtenant.onmicrosoft.com,testuser3@yourtenant.onmicrosoft.com,Test User 3,Test,User 3,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser4,testuser4@yourtenant.onmicrosoft.com,testuser4@yourtenant.onmicrosoft.com,Test User 4,Test,User 4,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser5,testuser5@yourtenant.onmicrosoft.com,testuser5@yourtenant.onmicrosoft.com,Test User 5,Test,User 5,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser6,testuser6@yourtenant.onmicrosoft.com,testuser6@yourtenant.onmicrosoft.com,Test User 6,Test,User 6,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser7,testuser7@yourtenant.onmicrosoft.com,testuser7@yourtenant.onmicrosoft.com,Test User 7,Test,User 7,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser8,testuser8@yourtenant.onmicrosoft.com,testuser8@yourtenant.onmicrosoft.com,Test User 8,Test,User 8,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser9,testuser9@yourtenant.onmicrosoft.com,testuser9@yourtenant.onmicrosoft.com,Test User 9,Test,User 9,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser10,testuser10@yourtenant.onmicrosoft.com,testuser10@yourtenant.onmicrosoft.com,Test User 10,Test,User 10,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser11,testuser11@yourtenant.onmicrosoft.com,testuser11@yourtenant.onmicrosoft.com,Test User 11,Test,User 11,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser12,testuser12@yourtenant.onmicrosoft.com,testuser12@yourtenant.onmicrosoft.com,Test User 12,Test,User 12,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser13,testuser13@yourtenant.onmicrosoft.com,testuser13@yourtenant.onmicrosoft.com,Test User 13,Test,User 13,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser14,testuser14@yourtenant.onmicrosoft.com,testuser14@yourtenant.onmicrosoft.com,Test User 14,Test,User 14,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser15,testuser15@yourtenant.onmicrosoft.com,testuser15@yourtenant.onmicrosoft.com,Test User 15,Test,User 15,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser16,testuser16@yourtenant.onmicrosoft.com,testuser16@yourtenant.onmicrosoft.com,Test User 16,Test,User 16,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser17,testuser17@yourtenant.onmicrosoft.com,testuser17@yourtenant.onmicrosoft.com,Test User 17,Test,User 17,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser18,testuser18@yourtenant.onmicrosoft.com,testuser18@yourtenant.onmicrosoft.com,Test User 18,Test,User 18,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser19,testuser19@yourtenant.onmicrosoft.com,testuser19@yourtenant.onmicrosoft.com,Test User 19,Test,User 19,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser20,testuser20@yourtenant.onmicrosoft.com,testuser20@yourtenant.onmicrosoft.com,Test User 20,Test,User 20,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser21,testuser21@yourtenant.onmicrosoft.com,testuser21@yourtenant.onmicrosoft.com,Test User 21,Test,User 21,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser22,testuser22@yourtenant.onmicrosoft.com,testuser22@yourtenant.onmicrosoft.com,Test User 22,Test,User 22,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser23,testuser23@yourtenant.onmicrosoft.com,testuser23@yourtenant.onmicrosoft.com,Test User 23,Test,User 23,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser24,testuser24@yourtenant.onmicrosoft.com,testuser24@yourtenant.onmicrosoft.com,Test User 24,Test,User 24,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser25,testuser25@yourtenant.onmicrosoft.com,testuser25@yourtenant.onmicrosoft.com,Test User 25,Test,User 25,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser26,testuser26@yourtenant.onmicrosoft.com,testuser26@yourtenant.onmicrosoft.com,Test User 26,Test,User 26,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser27,testuser27@yourtenant.onmicrosoft.com,testuser27@yourtenant.onmicrosoft.com,Test User 27,Test,User 27,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser28,testuser28@yourtenant.onmicrosoft.com,testuser28@yourtenant.onmicrosoft.com,Test User 28,Test,User 28,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser29,testuser29@yourtenant.onmicrosoft.com,testuser29@yourtenant.onmicrosoft.com,Test User 29,Test,User 29,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser30,testuser30@yourtenant.onmicrosoft.com,testuser30@yourtenant.onmicrosoft.com,Test User 30,Test,User 30,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser31,testuser31@yourtenant.onmicrosoft.com,testuser31@yourtenant.onmicrosoft.com,Test User 31,Test,User 31,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser32,testuser32@yourtenant.onmicrosoft.com,testuser32@yourtenant.onmicrosoft.com,Test User 32,Test,User 32,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser33,testuser33@yourtenant.onmicrosoft.com,testuser33@yourtenant.onmicrosoft.com,Test User 33,Test,User 33,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser34,testuser34@yourtenant.onmicrosoft.com,testuser34@yourtenant.onmicrosoft.com,Test User 34,Test,User 34,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser35,testuser35@yourtenant.onmicrosoft.com,testuser35@yourtenant.onmicrosoft.com,Test User 35,Test,User 35,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser36,testuser36@yourtenant.onmicrosoft.com,testuser36@yourtenant.onmicrosoft.com,Test User 36,Test,User 36,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser37,testuser37@yourtenant.onmicrosoft.com,testuser37@yourtenant.onmicrosoft.com,Test User 37,Test,User 37,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser38,testuser38@yourtenant.onmicrosoft.com,testuser38@yourtenant.onmicrosoft.com,Test User 38,Test,User 38,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser39,testuser39@yourtenant.onmicrosoft.com,testuser39@yourtenant.onmicrosoft.com,Test User 39,Test,User 39,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser40,testuser40@yourtenant.onmicrosoft.com,testuser40@yourtenant.onmicrosoft.com,Test User 40,Test,User 40,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
testuser41,testuser41@yourtenant.onmicrosoft.com,testuser41@yourtenant.onmicrosoft.com,Test User 41,Test,User 41,6CA94794-5854-11EC-B9AD-B0BF93EEFEAF
